Country,31/1/2022,17/2/2022,28/2/2022,4/3/2022,31/3/2022,10/4/2022,12/4/2022,30/4/2022,6/5/2022,8/5/2022,12/5/2022,13/5/2022,15/5/2022,17/5/2022,18/5/2022,19/5/2022,20/5/2022,21/5/2022,23/5/2022,24/5/2022,25/5/2022,26/5/2022,27/5/2022,28/5/2022,29/5/2022,30/5/2022,31/5/2022,1/6/2022,2/6/2022,3/6/2022,4/6/2022,5/6/2022,6/6/2022,7/6/2022,8/6/2022,9/6/2022,10/6/2022,11/6/2022,12/6/2022,13/6/2022,14/6/2022,15/6/2022,16/6/2022,17/6/2022,18/6/2022,19/6/2022,20/6/2022,21/6/2022,22/6/2022,23/6/2022,24/6/2022,25/6/2022,26/6/2022,27/6/2022,28/6/2022,29/6/2022,30/6/2022,1/7/2022,2/7/2022,3/7/2022,4/7/2022,5/7/2022,6/7/2022,7/7/2022,8/7/2022,9/7/2022,10/7/2022,11/7/2022,12/7/2022,13/7/2022,14/7/2022,15/7/2022,16/7/2022,17/7/2022,18/7/2022,19/7/2022,20/7/2022,21/7/2022,22/7/2022,23/7/2022,24/7/2022,25/7/2022,Country_Code
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,5,5,6,7,7,8,8,9,11,16,17,19,20,20,21,37,43,64,76,78,80,106,142,172,204,218,218,228,266,308,347,347,347,347,347,449,592,605,696,696,696,43,BRA
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,20,7,7,7,7,7,7,11,11,11,11,11,11,11,13,13,13,13,13,13,13,20,20,20,20,20,GRC
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,40,12,12,12,12,12,12,12,12,12,12,12,12,22,22,22,22,22,28,28,28,40,40,40,40,40,POL
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,VEN
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,5,5,6,6,6,6,6,9,11,20,11,11,11,11,11,11,14,14,14,14,14,14,15,16,18,18,18,18,19,19,19,19,20,20,20,ROU
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,BEN
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,6,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,ISL
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,GEO
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,3,3,14,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,8,8,14,14,14,14,14,LUX
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,SRB
